Issue Type,Issue key,Issue id,Summary,Created,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Status,Priority,Custom field (Epic Name),Assignee
Bug,EW-1031,851947,Web - device management is having weird behaviour,2023-07-25 09:29,Web,,,,,,,Done,2 - High,,M93417
Bug,EW-1030,851943,Web -TV2 ude is having the wrong message and archive can't be played,2023-07-25 09:15,Web,,,,,,,Won't fix,1 - Critical,,M93417
Bug,EW-1029,851896,Web - Conviva - archive is shown as SVOD should be Archive in content type,2023-07-24 15:28,Web,,,,,,,Won't fix,2 - High,,
Bug,EW-1028,851893,Web - Search doesn't work when searching for actor,2023-07-24 14:47,Web,,,,,,,To Do,3 - Medium,,
Bug,EW-1027,851892,Web - archive details - language is written in english instead of danish,2023-07-24 14:41,Web,,,,,,,To Do,4 - Low,,
Bug,EW-1026,851891,Web - Pagelink rented movies doesn't work - the page has been moved,2023-07-24 14:30,Web,,,,,,,Done,2 - High,,A72562
Bug,EW-1025,851890,Web - There is a typo in the rental pop-up,2023-07-24 14:22,Web,,,,,,,Done,4 - Low,,A72562
Bug,EW-1024,851886,Web - Login is not saved,2023-07-24 14:06,Web,,,,,,,Won't fix,2 - High,,
Bug,EW-1023,851872,Web - Channel sorting is not applied to Mine tv-kanaler,2023-07-24 13:10,Web,,,,,,,Won't fix,3 - Medium,,M88508
Bug,EW-1022,851870,CC: Chromecast not receiving token and streamURL from the new Fallback endpoint,2023-07-24 13:03,Chromecast Receiver,,Chromecast-receiver,,,,,To Do,3 - Medium,,
Bug,EW-1021,851866,Web - YouSee Premiere is not working,2023-07-24 12:50,Web,,,,,,,Done,3 - Medium,,A72562
Bug,EW-1020,851860,Web: Binge - if next episode have a bookmark it should still start playing from the beginning,2023-07-24 12:29,Web,,,,,,,Test Failed,3 - Medium,,
Bug,EW-1019,851857,Web - Binge next episode of a series doesn't start automatically,2023-07-24 12:17,Web,,,,,,,Done,2 - High,,A72562
Bug,EW-1009,849657,STV - scrubbing rights - Maintain earned scrubbing rights is failing,2023-07-11 13:41,Smart TV,,,,,,,In Progress,2 - High,,M94083
Bug,EW-1006,849649,STV - start over is not allowed on all channels or programs,2023-07-11 13:14,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-1004,849641,Smart TV: Pointer mode - When selecting search the design looks weird - doesn't happen without pointermode,2023-07-11 12:48,Smart TV,,,,,,,To Do,4 - Low,,
Bug,EW-1003,849638,Smart TV: Pointer mode - disabling pointermode gives problem with menu and focus,2023-07-11 12:43,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-1002,849629,Smart TV: Issues with fetching recordings - spinner on recording icon,2023-07-11 12:24,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-1001,849626,STV - Error when entering live synopsis,2023-07-11 12:21,Smart TV,,,,,,,Done,1 - Critical,,M94083
Bug,EW-1000,849621,Smart TV: Pointer mode - search doesn't close automatically when using pointer mode,2023-07-11 12:13,Smart TV,,,,,,,To Do,4 - Low,,
Bug,EW-999,849600,Smart TV: Pointer mode - player overlay ,2023-07-11 11:24,Smart TV,,,,,,,Done,2 - High,,M101317
Bug,EW-998,849597,Smart TV: Pointer mode - not able to press buttons on synopsis,2023-07-11 11:16,Smart TV,,,,,,,Done,2 - High,,M101317
Bug,EW-997,849562,Smart TV: Pointer mode - can't use pointer mode to scroll down in the search results,2023-07-11 10:00,Smart TV,,,,,,,Done,3 - Medium,,M86720
Bug,EW-995,849517,Smart TV: Pointer mode doesn't work on pagelinks,2023-07-11 09:26,Smart TV,,,,,,,Done,2 - High,,M86720
Bug,EW-993,849425,Smart TV: Pagelinks on tv main page doesn't follow design and spacing is wrong,2023-07-10 14:27,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-992,849415,Smart TV: Text is cut off on the last asset in all categories when you select vis alle,2023-07-10 14:14,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-991,849411,STV - not able to read the entire program description (meta data),2023-07-10 14:08,Smart TV,,,,,,,Done,3 - Medium,,M94083
